날짜,종가,전일비,등락률,거래량,기관,외국인,외국인비율,누적거래량
2023.09.06,"70,000",700,-0.99%,"11,414,620","-845,782","+895,046","3,178,184,714",53.24%
2023.09.05,"70,700",500,-0.70%,"12,330,239","-1,050,231","+1,724,475","3,177,442,968",53.23%
2023.09.04,"71,200",200,+0.28%,"26,286,495","-939,928","+3,395,921","3,175,663,093",53.20%
2023.09.01,"71,000","4,100",+6.13%,"29,738,235","+2,018,992","+7,961,612","3,172,443,214",53.14%
2023.08.31,"66,900",200,-0.30%,"15,964,630","+1,120,554","-1,843,999","3,164,484,602",53.01%
2023.08.31,"66,900",200,-0.30%,"15,964,630","+1,120,554","-1,843,999","3,164,484,602",53.01%
2023.08.31,"66,900",200,-0.30%,"15,964,630","+1,120,554","-1,843,999","3,164,484,602",53.01%
2023.08.31,"66,900",200,-0.30%,"15,964,630","+1,120,554","-1,843,999","3,164,484,602",53.01%
2023.08.30,"67,100",300,+0.45%,"9,181,223","+718,539","+231,970","3,166,825,101",53.05%
2023.08.29,"66,800",0,0.00%,"9,114,352","-317,482","-659,400","3,166,313,307",53.04%
2023.08.28,"66,800",300,-0.45%,"5,824,628","-65,786","-1,179,314","3,167,002,725",53.05%
2023.08.25,"67,100","1,100",-1.61%,"7,032,462","-893,424","-267,034","3,168,891,939",53.08%
2023.08.24,"68,200","1,100",+1.64%,"15,044,463","+1,393,677","+659,903","3,168,748,973",53.08%
2023.08.24,"68,200","1,100",+1.64%,"15,044,463","+1,393,677","+659,903","3,168,748,973",53.08%
2023.08.24,"68,200","1,100",+1.64%,"15,044,463","+1,393,677","+659,903","3,168,748,973",53.08%
2023.08.24,"68,200","1,100",+1.64%,"15,044,463","+1,393,677","+659,903","3,168,748,973",53.08%
2023.08.23,"67,100",500,+0.75%,"9,549,352","-8,454","+621,259","3,167,961,170",53.07%
2023.08.22,"66,600",0,0.00%,"10,500,242","-66,993","-105,852","3,167,284,911",53.06%
2023.08.21,"66,600",300,+0.45%,"9,720,067","-223,911","+149,211","3,167,660,963",53.06%
2023.08.18,"66,300",400,-0.60%,"11,745,006","-932,690","+162,741","3,167,530,091",53.06%
2023.08.17,"66,700",300,-0.45%,"10,778,652","-302,148","-445,932","3,167,166,350",53.05%
2023.08.17,"66,700",300,-0.45%,"10,778,652","-302,148","-445,932","3,167,166,350",53.05%
2023.08.17,"66,700",300,-0.45%,"10,778,652","-302,148","-445,932","3,167,166,350",53.05%
2023.08.17,"66,700",300,-0.45%,"10,778,652","-302,148","-445,932","3,167,166,350",53.05%
2023.08.16,"67,000",300,-0.45%,"13,174,578","-1,437,535","+483,648","3,167,759,282",53.06%
2023.08.14,"67,300",200,-0.30%,"9,352,343","-1,596,050","+272,998","3,167,324,608",53.06%
2023.08.11,"67,500",500,-0.74%,"9,781,038","-759,366","-1,760,032","3,166,844,310",53.05%
2023.08.10,"68,000",900,-1.31%,"10,227,311","-784,461","-1,166,881","3,168,627,960",53.08%
